Category,Model,Storage,Model Number,Display,Year,Chipset,Price
Pad,iPad Pro 4 (12.9-inch) Wifi,256GB,A2229,"12.9""",2020,A12Z,1110
Pad,iPad Pro 4 (12.9-inch) Wifi,512GB,A2229,"12.9""",2020,A12Z,1240
Pad,iPad Pro 4 (12.9-inch) Wifi,1TB,A2229,"12.9""",2020,A12Z,1320
Pad,iPad Pro 4 (12.9-inch) Wifi + Cellular,128GB,A2069 / A2232 / A2233,"12.9""",2020,A12Z,1110
Pad,iPad Pro 4 (12.9-inch) Wifi + Cellular,256GB,A2069 / A2232 / A2233,"12.9""",2020,A12Z,1240
Pad,iPad Pro 4 (12.9-inch) Wifi + Cellular,512GB,A2069 / A2232 / A2233,"12.9""",2020,A12Z,1390
Pad,iPad Pro 4 (12.9-inch) Wifi + Cellular,1TB,A2069 / A2232 / A2233,"12.9""",2020,A12Z,1460
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi,128GB,A2377,"11""",2021,M1,1040
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi,256GB,A2377,"11""",2021,M1,1210
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi,512GB,A2377,"11""",2021,M1,1340
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi,1TB,A2377,"11""",2021,M1,1380
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi,2TB,A2377,"11""",2021,M1,1570
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi + Cellular,128GB,A2301 / A2459 / A2460,"11""",2021,M1,1140
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi + Cellular,256GB,A2301 / A2459 / A2460,"11""",2021,M1,1330
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi + Cellular,512GB,A2301 / A2459 / A2460,"11""",2021,M1,1480
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi + Cellular,1TB,A2301 / A2459 / A2460,"11""",2021,M1,1570
Pad,iPad Pro 11-inch (2021 3rd Gen) Wifi + Cellular,2TB,A2301 / A2459 / A2460,"11""",2021,M1,1760
Pad,iPad Pro 5 (12.9-inch) Wi-Fi,128GB,A2378,"12.9""",2021,M1,1190
Pad,iPad Pro 5 (12.9-inch) Wi-Fi,256GB,A2378,"12.9""",2021,M1,1310
Pad,iPad Pro 5 (12.9-inch) Wi-Fi,512GB,A2378,"12.9""",2021,M1,1410
Pad,iPad Pro 5 (12.9-inch) Wi-Fi,1TB,A2378,"12.9""",2021,M1,1520
Pad,iPad Pro 5 (12.9-inch) Wi-Fi,2TB,A2378,"12.9""",2021,M1,1750
Pad,iPad Pro 5 (12.9-inch) Wi-Fi + Cellular,128GB,A2379 / A2461 / A2462,"12.9""",2021,M1,1290
Pad,iPad Pro 5 (12.9-inch) Wi-Fi + Cellular,256GB,A2379 / A2461 / A2462,"12.9""",2021,M1,1390
Pad,iPad Pro 5 (12.9-inch) Wi-Fi + Cellular,512GB,A2379 / A2461 / A2462,"12.9""",2021,M1,1520
Pad,iPad Pro 5 (12.9-inch) Wi-Fi + Cellular,1TB,A2379 / A2461 / A2462,"12.9""",2021,M1,1670
Pad,iPad Pro 5 (12.9-inch) Wi-Fi + Cellular,2TB,A2379 / A2461 / A2462,"12.9""",2021,M1,1820
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi,128GB,A2759,"11""",2022,M2,1340
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi,256GB,A2759,"11""",2022,M2,1390
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi,512GB,A2759,"11""",2022,M2,1530
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi,1TB,A2759,"11""",2022,M2,1660
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi,2TB,A2759,"11""",2022,M2,1900
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi + Cellular,128GB,A2435 / A2761 / A2762,"11""",2022,M2,1410
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi + Cellular,256GB,A2435 / A2761 / A2762,"11""",2022,M2,1540
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi + Cellular,512GB,A2435 / A2761 / A2762,"11""",2022,M2,1660
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi + Cellular,1TB,A2435 / A2761 / A2762,"11""",2022,M2,1760
Pad,iPad Pro 11-inch (2022 4th Gen) Wi-Fi + Cellular,2TB,A2435 / A2761 / A2762,"11""",2022,M2,2030
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi,128GB,A2436,"12.9""",2022,M2,1440
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi,256GB,A2436,"12.9""",2022,M2,1560
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi,512GB,A2436,"12.9""",2022,M2,1690
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi,1TB,A2436,"12.9""",2022,M2,1890
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi,2TB,A2436,"12.9""",2022,M2,2090
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi + Cellular,128GB,A2437 / A2764 / A2766,"12.9""",2022,M2,1590
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi + Cellular,256GB,A2437 / A2764 / A2766,"12.9""",2022,M2,1710
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi + Cellular,512GB,A2437 / A2764 / A2766,"12.9""",2022,M2,1860
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi + Cellular,1TB,A2437 / A2764 / A2766,"12.9""",2022,M2,1940
Pad,iPad Pro 12.9-inch (2022 6th Gen) Wi-Fi + Cellular,2TB,A2437 / A2764 / A2766,"12.9""",2022,M2,2140
Pad,iPad Pro 11-inch (M4) Wi-Fi,256GB,A2836,"11""",2024,M4,1810
Pad,iPad Pro 11-inch (M4) Wi-Fi,512GB,A2836,"11""",2024,M4,2190
Pad,iPad Pro 11-inch (M4) Wi-Fi,1TB,A2836,"11""",2024,M4,2690
Pad,iPad Pro 11-inch (M4) Wi-Fi,2TB,A2836,"11""",2024,M4,3220
Pad,iPad Pro 11-inch (M4) Wi-Fi + Cellular,256GB,A2837 / A3006,"11""",2024,M4,2110
Pad,iPad Pro 11-inch (M4) Wi-Fi + Cellular,512GB,A2837 / A3006,"11""",2024,M4,2440
Pad,iPad Pro 11-inch (M4) Wi-Fi + Cellular,1TB,A2837 / A3006,"11""",2024,M4,2960
Pad,iPad Pro 11-inch (M4) Wi-Fi + Cellular,2TB,A2837 / A3006,"11""",2024,M4,3510
Pad,iPad Pro 13-inch (M4) Wi-Fi (2024 7th Gen),256GB,A2925,"13""",2024,M4,2240
Pad,iPad Pro 13-inch (M4) Wi-Fi (2024 7th Gen),512GB,A2925,"13""",2024,M4,2660
Pad,iPad Pro 13-inch (M4) Wi-Fi (2024 7th Gen),1TB,A2925,"13""",2024,M4,3220
Pad,iPad Pro 13-inch (M4) Wi-Fi (2024 7th Gen),2TB,A2925,"13""",2024,M4,3790
Pad,iPad Pro 13-inch (M4) Wi-Fi + Cellular,256GB,A2926/A3007,"13""",2024,M4,2630
Pad,iPad Pro 13-inch (M4) Wi-Fi + Cellular,512GB,A2926/A3007,"13""",2024,M4,3010
Pad,iPad Pro 13-inch (M4) Wi-Fi + Cellular,1TB,A2926/A3007,"13""",2024,M4,3610
Pad,iPad Pro 13-inch (M4) Wi-Fi + Cellular,2TB,A2926/A3007,"13""",2024,M4,4160
Pad,iPad Pro 11-inch (M5) Wi-Fi,256GB,A3357,"11""",2025,M5,2600
Pad,iPad Pro 11-inch (M5) Wi-Fi,512GB,A3357,"11""",2025,M5,3150
Pad,iPad Pro 11-inch (M5) Wi-Fi,1TB,A3357,"11""",2025,M5,4000
Pad,iPad Pro 11-inch (M5) Wi-Fi,2TB,A3357,"11""",2025,M5,5000
Pad,iPad Pro 11-inch (M5) Wi-Fi + Cellular,256GB,A3358 / A3359,"11""",2025,M5,3150
Pad,iPad Pro 11-inch (M5) Wi-Fi + Cellular,512GB,A3358 / A3359,"11""",2025,M5,3630
Pad,iPad Pro 11-inch (M5) Wi-Fi + Cellular,1TB,A3358 / A3359,"11""",2025,M5,4470
Pad,iPad Pro 11-inch (M5) Wi-Fi + Cellular,2TB,A3358 / A3359,"11""",2025,M5,5480
Pad,iPad Pro 13-inch (M5) Wi-Fi,256GB,A3360,"13""",2025,M5,3330
Pad,iPad Pro 13-inch (M5) Wi-Fi,512GB,A3360,"13""",2025,M5,3850
Pad,iPad Pro 13-inch (M5) Wi-Fi,1TB,A3360,"13""",2025,M5,4880
Pad,iPad Pro 13-inch (M5) Wi-Fi,2TB,A3360,"13""",2025,M5,5880
Pad,iPad Pro 13-inch (M5) Wi-Fi + Cellular,256GB,A3361 / A3362,"13""",2025,M5,3850
Pad,iPad Pro 13-inch (M5) Wi-Fi + Cellular,512GB,A3361 / A3362,"13""",2025,M5,4350
Pad,iPad Pro 13-inch (M5) Wi-Fi + Cellular,1TB,A3361 / A3362,"13""",2025,M5,5380
Pad,iPad Pro 13-inch (M5) Wi-Fi + Cellular,2TB,A3361 / A3362,"13""",2025,M5,6380
