Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Standard,iPhone 14,4699.0,,256.0,Unknown,Unknown,,1000.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 14,5699.0,,512.0,Unknown,Unknown,,1100.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 14 (eSIM),4199.0,,128.0,Unknown,Unknown,,850.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 14 (eSIM),4699.0,,256.0,Unknown,Unknown,,935.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 14 (eSIM),5699.0,,512.0,Unknown,Unknown,,1020.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus,4699.0,,128.0,Unknown,Unknown,,1000.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus,5199.0,,256.0,Unknown,Unknown,,1100.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus,6199.0,,512.0,Unknown,Unknown,,1225.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),4699.0,,128.0,Unknown,Unknown,,895.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),5199.0,,256.0,Unknown,Unknown,,985.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),6199.0,,512.0,Unknown,Unknown,,1080.0,2022,A15 Bionic,,,,,,,Unknown
