Device,Sub-device,Provider,Tier,FitGroup,n_rows,n_distinct_ages,form,a,b,rmse,r2,relative_r2,max_observed_retention,a_hit_ceiling
iPad,iPad Air,CompAsia,1_subdevice_provider,iPad | iPad Air | CompAsia,40,4,exponential,0.46322,0.12063,0.03076,0.8145,0.95432,0.46807,False
iPad,iPad Pro,CompAsia,1_subdevice_provider,iPad | iPad Pro | CompAsia,88,5,power_law,0.91084,0.82515,0.04145,0.90756,0.96121,0.59556,False
iPad,iPad,Machines,1_subdevice_provider,iPad | iPad | Machines,21,5,exponential,0.52348,0.21281,0.04695,0.76486,0.9234,0.38769,False
iPad,iPad Air,Machines,1_subdevice_provider,iPad | iPad Air | Machines,40,4,exponential,0.46322,0.12063,0.03076,0.8145,0.95432,0.46807,False
iPad,iPad Pro,Machines,1_subdevice_provider,iPad | iPad Pro | Machines,88,5,power_law,0.91084,0.82515,0.04145,0.90756,0.96121,0.59556,False
iPad,iPad,Switch,1_subdevice_provider,iPad | iPad | Switch,38,8,exponential,0.51905,0.23345,0.02576,0.95792,0.99331,0.41021,False
iPad,iPad Air,Switch,1_subdevice_provider,iPad | iPad Air | Switch,60,7,exponential,0.55457,0.20629,0.04038,0.93058,0.99572,0.47448,False
iPad,iPad Pro,Switch,1_subdevice_provider,iPad | iPad Pro | Switch,119,8,exponential,0.65156,0.24539,0.04933,0.7537,0.98302,0.40776,False
iPad,iPad mini,Switch,1_subdevice_provider,iPad | iPad mini | Switch,42,7,exponential,0.72205,0.23994,0.03161,0.93608,0.99179,0.40473,False
iPad,iPad,UR,1_subdevice_provider,iPad | iPad | UR,38,8,exponential,0.51905,0.23345,0.02576,0.95792,0.99331,0.41021,False
iPad,iPad Air,UR,1_subdevice_provider,iPad | iPad Air | UR,60,7,exponential,0.55457,0.20629,0.04038,0.93058,0.99572,0.47448,False
iPad,iPad Pro,UR,1_subdevice_provider,iPad | iPad Pro | UR,119,8,exponential,0.65156,0.24539,0.04933,0.7537,0.98302,0.40776,False
iPad,iPad mini,UR,1_subdevice_provider,iPad | iPad mini | UR,42,7,exponential,0.72205,0.23994,0.03161,0.93608,0.99179,0.40473,False
iPad,iPad,iTworld,1_subdevice_provider,iPad | iPad | iTworld,38,8,exponential,0.51905,0.23345,0.02576,0.95792,0.99331,0.41021,False
iPad,iPad Air,iTworld,1_subdevice_provider,iPad | iPad Air | iTworld,60,7,exponential,0.55457,0.20629,0.04038,0.93058,0.99572,0.47448,False
iPad,iPad Pro,iTworld,1_subdevice_provider,iPad | iPad Pro | iTworld,119,8,exponential,0.65156,0.24539,0.04933,0.7537,0.98302,0.40776,False
iPad,iPad mini,iTworld,1_subdevice_provider,iPad | iPad mini | iTworld,42,7,exponential,0.72205,0.23994,0.03161,0.93608,0.99179,0.40473,False
iPad,(device-level),CompAsia,2_device_provider,iPad | (device-level) | CompAsia,160,6,exponential,0.59178,0.23569,0.05859,0.76206,0.95309,0.59556,False
iPad,(device-level),Machines,2_device_provider,iPad | (device-level) | Machines,159,6,exponential,0.58469,0.23028,0.05798,0.76306,0.9531,0.59556,False
iPad,(device-level),Switch,2_device_provider,iPad | (device-level) | Switch,259,13,exponential,0.5677,0.22619,0.04132,0.89852,0.99158,0.47448,False
iPad,(device-level),U Mobile,2_device_provider,iPad | (device-level) | U Mobile,20,5,power_law,1.5,1.05982,0.02207,0.77748,0.95388,0.30478,True
iPad,(device-level),UR,2_device_provider,iPad | (device-level) | UR,259,13,exponential,0.5677,0.22619,0.04132,0.89852,0.99158,0.47448,False
iPad,(device-level),iTworld,2_device_provider,iPad | (device-level) | iTworld,259,13,exponential,0.5677,0.22619,0.04132,0.89852,0.99158,0.47448,False
iPad,(pooled),(pooled),3_device_only,"iPad | (pooled, all providers)",1116,13,exponential,0.57808,0.22815,0.04725,0.87976,0.99208,0.59556,False
iPhone,Plus,CompAsia,1_subdevice_provider,iPhone | Plus | CompAsia,20,4,exponential,0.98702,0.38362,0.03716,0.9436,0.99963,0.53013,False
iPhone,Pro,CompAsia,1_subdevice_provider,iPhone | Pro | CompAsia,36,7,exponential,0.76675,0.30451,0.0234,0.97035,0.99738,0.55192,False
iPhone,Pro Max,CompAsia,1_subdevice_provider,iPhone | Pro Max | CompAsia,34,7,exponential,0.76941,0.28992,0.0275,0.96147,0.99305,0.55009,False
iPhone,Standard,CompAsia,1_subdevice_provider,iPhone | Standard | CompAsia,46,9,exponential,0.73151,0.33392,0.08015,0.75633,0.99136,0.53411,False
iPhone,Plus,Machines,1_subdevice_provider,iPhone | Plus | Machines,21,4,exponential,0.99099,0.38407,0.03736,0.94068,0.99961,0.53013,False
iPhone,Pro,Machines,1_subdevice_provider,iPhone | Pro | Machines,37,7,exponential,0.76924,0.30451,0.02379,0.96853,0.99765,0.55192,False
iPhone,Pro Max,Machines,1_subdevice_provider,iPhone | Pro Max | Machines,34,7,exponential,0.76941,0.28992,0.0275,0.96147,0.99305,0.55009,False
iPhone,Standard,Machines,1_subdevice_provider,iPhone | Standard | Machines,46,9,exponential,0.73151,0.33392,0.08015,0.75633,0.99136,0.53411,False
