Standardized Model,Mac Family,RAM Configurations (GB)
MacBook Pro M2 Max 12-Core CPU & 30-Core GPU 16-inch (Early 2023),MacBook Pro,"32, 64"
MacBook Pro M2 Max 12-Core CPU & 38-Core GPU 14-inch (Early 2023),MacBook Pro,"32, 64, 96"
MacBook Pro M2 Max 12-Core CPU & 38-Core GPU 16-inch (Early 2023),MacBook Pro,"32, 64, 96"
MacBook Pro M2 Pro 10-Core CPU & 16-Core GPU 14-inch (Early 2023),MacBook Pro,"16, 32"
MacBook Pro M2 Pro 12-Core CPU & 19-Core GPU 14-inch (Early 2023),MacBook Pro,"16, 32"
MacBook Pro M2 Pro 12-Core CPU & 19-Core GPU 16-inch (Early 2023),MacBook Pro,"16, 32"
MacBook Pro M3 8-Core CPU & 10-Core GPU 14-inch (Late 2023),MacBook Pro,"8, 16, 24"
MacBook Pro M3 Max 14-Core CPU & 30-Core GPU 14-inch (Late 2023),MacBook Pro,"36, 96"
MacBook Pro M3 Max 14-Core CPU & 30-Core GPU 16-inch (Late 2023),MacBook Pro,"36, 96"
MacBook Pro M3 Max 16-Core CPU & 40-Core GPU 14-inch (Late 2023),MacBook Pro,"48, 64, 128"
MacBook Pro M3 Max 16-Core CPU & 40-Core GPU 16-inch (Late 2023),MacBook Pro,"48, 64, 128"
MacBook Pro M3 Pro 11-Core CPU & 14-Core GPU 14-inch (Late 2023),MacBook Pro,"18, 36"
MacBook Pro M3 Pro 12-Core CPU & 18-Core GPU 14-inch (Late 2023),MacBook Pro,"18, 36"
MacBook Pro M3 Pro 12-Core CPU & 18-Core GPU 16-inch (Late 2023),MacBook Pro,"18, 36"
MacBook Pro M4 10-Core CPU & 10-Core GPU 14-inch (Late 2024),MacBook Pro,"16, 24, 32"
MacBook Pro M4 Max 14-Core CPU & 32-Core GPU 14-inch (Late 2024),MacBook Pro,"36, 48, 64, 128"
MacBook Pro M4 Max 14-Core CPU & 32-Core GPU 16-inch (Late 2024),MacBook Pro,"36, 48, 64, 128"
MacBook Pro M4 Max 16-Core CPU & 40-Core GPU 14-inch (Late 2024),MacBook Pro,"36, 48, 64, 128"
MacBook Pro M4 Max 16-Core CPU & 40-Core GPU 16-inch (Late 2024),MacBook Pro,"36, 48, 64, 128"
MacBook Pro M4 Pro 12-Core CPU & 16-Core GPU 14-inch (Late 2024),MacBook Pro,"24, 48, 64"
MacBook Pro M4 Pro 14-Core CPU & 20-Core GPU 14-inch (Late 2024),MacBook Pro,"24, 48, 64"
MacBook Pro M4 Pro 14-Core CPU & 20-Core GPU 16-inch (Late 2024),MacBook Pro,"24, 48, 64"
MacBook Pro M5 10-Core CPU & 10-Core GPU 14-inch (Late 2025),MacBook Pro,"16, 24, 32"
MacBook Pro i5 1.4GHz 13-inch (Mid 2019),MacBook Pro,"8, 16"
MacBook Pro i5 1.4GHz 13-inch (Mid 2020),MacBook Pro,"8, 16"
MacBook Pro i5 2.0GHz 13-inch (Late 2016),MacBook Pro,"8, 16"
MacBook Pro i5 2.0GHz 13-inch (Mid 2020),MacBook Pro,"16, 32"
MacBook Pro i5 2.3GHz 13-inch (Mid 2017),MacBook Pro,"8, 16"
MacBook Pro i5 2.3GHz 13-inch (Mid 2018),MacBook Pro,"8, 16"
MacBook Pro i5 2.4GHz 13-inch (Mid 2019),MacBook Pro,"8, 16"
MacBook Pro i5 2.7GHz 13-inch (Early 2015),MacBook Pro,"8, 16"
MacBook Pro i5 2.9GHz 13-inch (Early 2015),MacBook Pro,"8, 16"
MacBook Pro i5 2.9GHz 13-inch (Late 2016),MacBook Pro,"8, 16"
MacBook Pro i5 3.1GHz 13-inch (Late 2016),MacBook Pro,"8, 16"
MacBook Pro i5 3.1GHz 13-inch (Mid 2017),MacBook Pro,"8, 16"
MacBook Pro i5 3.3GHz 13-inch (Mid 2017),MacBook Pro,"8, 16"
MacBook Pro i7 1.7GHz 13-inch (Mid 2019),MacBook Pro,"8, 16"
MacBook Pro i7 1.7GHz 13-inch (Mid 2020),MacBook Pro,"8, 16"
MacBook Pro i7 2.2GHz 15-inch (Mid 2015),MacBook Pro,16
MacBook Pro i7 2.2GHz 15-inch (Mid 2018),MacBook Pro,"16, 32"
MacBook Pro i7 2.3GHz 13-inch (Mid 2020),MacBook Pro,"16, 32"
MacBook Pro i7 2.4GHz 13-inch (Late 2016),MacBook Pro,"8, 16"
MacBook Pro i7 2.5GHz 13-inch (Mid 2017),MacBook Pro,"8, 16"
MacBook Pro i7 2.5GHz 15-inch (Mid 2015),MacBook Pro,16
MacBook Pro i7 2.6GHz 15-inch (Late 2016),MacBook Pro,16
MacBook Pro i7 2.6GHz 15-inch (Mid 2018),MacBook Pro,"16, 32"
MacBook Pro i7 2.6GHz 15-inch (Mid 2019),MacBook Pro,"16, 32"
MacBook Pro i7 2.6GHz 16-inch (Late 2019),MacBook Pro,"16, 32, 64"
MacBook Pro i7 2.7GHz 13-inch (Mid 2018),MacBook Pro,"8, 16"
MacBook Pro i7 2.7GHz 15-inch (Late 2016),MacBook Pro,16
MacBook Pro i7 2.8GHz 13-inch (Mid 2019),MacBook Pro,"8, 16"
MacBook Pro i7 2.8GHz 15-inch (Mid 2015),MacBook Pro,16
MacBook Pro i7 2.8GHz 15-inch (Mid 2017),MacBook Pro,"16, 32"
MacBook Pro i7 2.9GHz 15-inch (Late 2016),MacBook Pro,16
