Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),,512 GB,,,,1375,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,,128 GB,,,,1575,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,,1 TB,,,,1975,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,,256 GB,,,,1700,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,,512 GB,,,,1835,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),,128 GB,,,,1350,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),,1 TB,,,,1700,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),,256 GB,,,,1445,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),,512 GB,,,,1560,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15,,128 GB,,,,1460,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15,,256 GB,,,,1625,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15,,512 GB,,,,1775,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15 (eSIM),,128 GB,,,,1210,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15 (eSIM),,256 GB,,,,1320,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 15 (eSIM),,512 GB,,,,1445,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 15 Plus,,128 GB,,,,1550,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 15 Plus,,256 GB,,,,1775,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),,128 GB,,,,1295,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),,256 GB,,,,1440,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),,512 GB,,,,1640,2023,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro,,128 GB,,,,1725,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro,,1 TB,,,,2350,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro,,256 GB,,,,2000,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro,,512 GB,,,,2125,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),,128 GB,,,,1535,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),,1 TB,,,,2050,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),,256 GB,,,,1665,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),,512 GB,,,,1830,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,,1 TB,,,,2650,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,,256 GB,,,,2200,2023,A17 Pro,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,,512 GB,,,,2425,2023,A17 Pro,,,,,,,
