Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
Machines,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,64 GB,,Wi-Fi + Cellular,,975
Machines,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,256 GB,,Wi-Fi + Cellular,,1075
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,128 GB,,Wi-Fi,,1150
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,256 GB,,Wi-Fi,,1375
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,512 GB,,Wi-Fi,,1575
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,1 TB,,Wi-Fi,,1900
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,128 GB,,Wi-Fi + Cellular,,1350
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,256 GB,,Wi-Fi + Cellular,,1475
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,512 GB,,Wi-Fi + Cellular,,1800
Machines,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,1 TB,,Wi-Fi + Cellular,,2050
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,128 GB,,Wi-Fi,,1250
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,256 GB,,Wi-Fi,,1425
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,512 GB,,Wi-Fi,,1750
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,1 TB,,Wi-Fi,,2075
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,128 GB,,Wi-Fi + Cellular,,1525
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,256 GB,,Wi-Fi + Cellular,,1725
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,512 GB,,Wi-Fi + Cellular,,2075
Machines,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,1 TB,,Wi-Fi + Cellular,,2300
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,128 GB,,Wi-Fi,,1225
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,256 GB,,Wi-Fi,,1425
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,512 GB,,Wi-Fi,,1825
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,1 TB,,Wi-Fi,,2175
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,128 GB,,Wi-Fi + Cellular,,1600
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,256 GB,,Wi-Fi + Cellular,,1825
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,512 GB,,Wi-Fi + Cellular,,2200
Machines,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,1 TB,,Wi-Fi + Cellular,,2575
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,128 GB,,Wi-Fi,,1600
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,256 GB,,Wi-Fi,,1800
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,512 GB,,Wi-Fi,,2050
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,1 TB,,Wi-Fi,,2400
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,128 GB,,Wi-Fi + Cellular,,1875
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,256 GB,,Wi-Fi + Cellular,,2100
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,512 GB,,Wi-Fi + Cellular,,2400
Machines,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,1 TB,,Wi-Fi + Cellular,,2700
Machines,iPad,iPad mini,iPad Mini 6,,64 GB,,Wi-Fi,,585
Machines,iPad,iPad mini,iPad Mini 6,,256 GB,,Wi-Fi,,775
Machines,iPad,iPad mini,iPad Mini 6,,64 GB,,Wi-Fi + Cellular,,775
Machines,iPad,iPad mini,iPad Mini 6,,256 GB,,Wi-Fi + Cellular,,925
Machines,iPad,iPad mini,iPad Mini 7,,128 GB,,Wi-Fi,,850
Machines,iPad,iPad mini,iPad Mini 7,,256 GB,,Wi-Fi,,1010
Machines,iPad,iPad mini,iPad Mini 7,,512 GB,,Wi-Fi,,1375
Machines,iPad,iPad mini,iPad Mini 7,,128 GB,,Wi-Fi + Cellular,,1050
Machines,iPad,iPad mini,iPad Mini 7,,256 GB,,Wi-Fi + Cellular,,1275
Machines,iPad,iPad mini,iPad Mini 7,,512 GB,,Wi-Fi + Cellular,,1475
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,128 GB,,Wi-Fi,,700
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,256 GB,,Wi-Fi,,775
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,512 GB,,Wi-Fi,,900
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,1 TB,,Wi-Fi,,950
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,128 GB,,Wi-Fi + Cellular,,775
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,256 GB,,Wi-Fi + Cellular,,875
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,512 GB,,Wi-Fi + Cellular,,1050
Machines,iPad,iPad Pro,iPad Pro 11-inch A12Z (2020),,1 TB,,Wi-Fi + Cellular,,1075
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,128 GB,,Wi-Fi,,900
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,256 GB,,Wi-Fi,,1050
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,512 GB,,Wi-Fi,,1175
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,1 TB,,Wi-Fi,,1275
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,128 GB,,Wi-Fi + Cellular,,1050
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,256 GB,,Wi-Fi + Cellular,,1175
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,512 GB,,Wi-Fi + Cellular,,1325
Machines,iPad,iPad Pro,iPad Pro 12.9-inch A12Z (2020),,1 TB,,Wi-Fi + Cellular,,1400
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,128 GB,,Wi-Fi,,975
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,256 GB,,Wi-Fi,,1150
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,512 GB,,Wi-Fi,,1275
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,1 TB,,Wi-Fi,,1325
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,2 TB,,Wi-Fi,,1525
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,128 GB,,Wi-Fi + Cellular,,1075
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,256 GB,,Wi-Fi + Cellular,,1275
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,512 GB,,Wi-Fi + Cellular,,1425
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,1 TB,,Wi-Fi + Cellular,,1525
Machines,iPad,iPad Pro,iPad Pro 11-inch M1 (2021),,2 TB,,Wi-Fi + Cellular,,1700
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,128 GB,,Wi-Fi,,1150
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,256 GB,,Wi-Fi,,1250
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,512 GB,,Wi-Fi,,1350
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,1 TB,,Wi-Fi,,1475
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,2 TB,,Wi-Fi,,1700
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,128 GB,,Wi-Fi + Cellular,,1225
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,256 GB,,Wi-Fi + Cellular,,1325
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,512 GB,,Wi-Fi + Cellular,,1475
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,1 TB,,Wi-Fi + Cellular,,1625
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M1 (2021),,2 TB,,Wi-Fi + Cellular,,1775
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,128 GB,,Wi-Fi,,1175
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,256 GB,,Wi-Fi,,1325
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,512 GB,,Wi-Fi,,1525
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,1 TB,,Wi-Fi,,1650
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,2 TB,,Wi-Fi,,1900
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,128 GB,,Wi-Fi + Cellular,,1350
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,256 GB,,Wi-Fi + Cellular,,1475
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,512 GB,,Wi-Fi + Cellular,,1650
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,1 TB,,Wi-Fi + Cellular,,1750
Machines,iPad,iPad Pro,iPad Pro 11-inch M2 (2022),,2 TB,,Wi-Fi + Cellular,,2025
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,128 GB,,Wi-Fi,,1400
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,256 GB,,Wi-Fi,,1500
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,512 GB,,Wi-Fi,,1625
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,1 TB,,Wi-Fi,,1825
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,2 TB,,Wi-Fi,,2025
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,128 GB,,Wi-Fi + Cellular,,1525
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,256 GB,,Wi-Fi + Cellular,,1650
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,512 GB,,Wi-Fi + Cellular,,1800
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,1 TB,,Wi-Fi + Cellular,,1875
Machines,iPad,iPad Pro,iPad Pro 12.9-inch M2 (2022),,2 TB,,Wi-Fi + Cellular,,2075
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,256 GB,,Wi-Fi,,1750
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,512 GB,,Wi-Fi,,2125
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,1 TB,,Wi-Fi,,2625
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,2 TB,,Wi-Fi,,3150
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,256 GB,,Wi-Fi + Cellular,,2050
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,512 GB,,Wi-Fi + Cellular,,2375
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,1 TB,,Wi-Fi + Cellular,,2900
Machines,iPad,iPad Pro,iPad Pro 11-inch M4 (2024),,2 TB,,Wi-Fi + Cellular,,3450
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,256 GB,,Wi-Fi,,2175
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,512 GB,,Wi-Fi,,2600
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,1 TB,,Wi-Fi,,3175
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,2 TB,,Wi-Fi,,3725
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,256 GB,,Wi-Fi + Cellular,,2575
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,512 GB,,Wi-Fi + Cellular,,2950
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,1 TB,,Wi-Fi + Cellular,,3550
Machines,iPad,iPad Pro,iPad Pro 13-inch M4 (2024),,2 TB,,Wi-Fi + Cellular,,4100
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,256 GB,,Wi-Fi,,2550
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,512 GB,,Wi-Fi,,3100
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,1 TB,,Wi-Fi,,3950
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,2 TB,,Wi-Fi,,4950
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,256 GB,,Wi-Fi + Cellular,,3100
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,512 GB,,Wi-Fi + Cellular,,3575
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,1 TB,,Wi-Fi + Cellular,,4425
Machines,iPad,iPad Pro,iPad Pro 11-inch M5 (2025),,2 TB,,Wi-Fi + Cellular,,5425
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,256 GB,,Wi-Fi,,3275
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,512 GB,,Wi-Fi,,3800
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,1 TB,,Wi-Fi,,4825
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,2 TB,,Wi-Fi,,5825
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,256 GB,,Wi-Fi + Cellular,,3800
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,512 GB,,Wi-Fi + Cellular,,4300
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,1 TB,,Wi-Fi + Cellular,,5325
Machines,iPad,iPad Pro,iPad Pro 13-inch M5 (2025),,2 TB,,Wi-Fi + Cellular,,6325
Switch,iPad,iPad,iPad 10,,64 GB,,Wi-Fi + Cellular,,690
Switch,iPad,iPad,iPad 10,,256 GB,,Wi-Fi + Cellular,,800
Switch,iPad,iPad,iPad 10,,64 GB,,Wi-Fi,,610
Switch,iPad,iPad,iPad 10,,256 GB,,Wi-Fi,,690
Switch,iPad,iPad,iPad 11,,128 GB,,Wi-Fi + Cellular,,840
Switch,iPad,iPad,iPad 11,,256 GB,,Wi-Fi + Cellular,,1040
Switch,iPad,iPad,iPad 11,,512 GB,,Wi-Fi + Cellular,,1370
Switch,iPad,iPad,iPad 11,,128 GB,,Wi-Fi,,640
Switch,iPad,iPad,iPad 11,,256 GB,,Wi-Fi,,820
Switch,iPad,iPad,iPad 11,,512 GB,,Wi-Fi,,1110
Switch,iPad,iPad,iPad 4,,16 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad,iPad 4,,16 GB,,Wi-Fi,,50
Switch,iPad,iPad,iPad 4,,32 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad,iPad 4,,32 GB,,Wi-Fi,,50
Switch,iPad,iPad,iPad 4,,64 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad,iPad 4,,64 GB,,Wi-Fi,,50
Switch,iPad,iPad,iPad 4,,128 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad,iPad 4,,128 GB,,Wi-Fi,,50
Switch,iPad,iPad,iPad 5,,32 GB,,Wi-Fi + Cellular,,100
Switch,iPad,iPad,iPad 5,,32 GB,,Wi-Fi,,80
Switch,iPad,iPad,iPad 5,,128 GB,,Wi-Fi + Cellular,,130
Switch,iPad,iPad,iPad 5,,128 GB,,Wi-Fi,,100
Switch,iPad,iPad,iPad 6,,32 GB,,Wi-Fi + Cellular,,130
Switch,iPad,iPad,iPad 6,,32 GB,,Wi-Fi,,100
Switch,iPad,iPad,iPad 6,,128 GB,,Wi-Fi + Cellular,,170
Switch,iPad,iPad,iPad 6,,128 GB,,Wi-Fi,,130
Switch,iPad,iPad,iPad 7,,32 GB,,Wi-Fi + Cellular,,170
Switch,iPad,iPad,iPad 7,,32 GB,,Wi-Fi,,150
Switch,iPad,iPad,iPad 7,,128 GB,,Wi-Fi + Cellular,,340
Switch,iPad,iPad,iPad 7,,128 GB,,Wi-Fi,,240
Switch,iPad,iPad,iPad 8,,32 GB,,Wi-Fi + Cellular,,310
Switch,iPad,iPad,iPad 8,,32 GB,,Wi-Fi,,200
Switch,iPad,iPad,iPad 8,,128 GB,,Wi-Fi + Cellular,,360
Switch,iPad,iPad,iPad 8,,128 GB,,Wi-Fi,,260
Switch,iPad,iPad,iPad 9,,64 GB,,Wi-Fi + Cellular,,350
Switch,iPad,iPad,iPad 9,,64 GB,,Wi-Fi,,300
Switch,iPad,iPad,iPad 9,,256 GB,,Wi-Fi + Cellular,,450
Switch,iPad,iPad,iPad 9,,256 GB,,Wi-Fi,,400
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,16 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,16 GB,,Wi-Fi,,40
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,32 GB,,Wi-Fi + Cellular,,80
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,32 GB,,Wi-Fi,,60
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,64 GB,,Wi-Fi + Cellular,,90
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,64 GB,,Wi-Fi,,70
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,128 GB,,Wi-Fi + Cellular,,100
Switch,iPad,iPad Air,iPad Air 1 9.7-inch A7 (2013),,128 GB,,Wi-Fi,,80
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,16 GB,,Wi-Fi + Cellular,,100
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,16 GB,,Wi-Fi,,80
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,32 GB,,Wi-Fi + Cellular,,120
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,32 GB,,Wi-Fi,,90
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,64 GB,,Wi-Fi + Cellular,,130
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,64 GB,,Wi-Fi,,100
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,128 GB,,Wi-Fi + Cellular,,150
Switch,iPad,iPad Air,iPad Air 2 9.7-inch A8X (2014),,128 GB,,Wi-Fi,,120
Switch,iPad,iPad Air,iPad Air 3 10.5-inch A12 (2019),,64 GB,,Wi-Fi + Cellular,,350
Switch,iPad,iPad Air,iPad Air 3 10.5-inch A12 (2019),,64 GB,,Wi-Fi,,250
Switch,iPad,iPad Air,iPad Air 3 10.5-inch A12 (2019),,256 GB,,Wi-Fi + Cellular,,500
Switch,iPad,iPad Air,iPad Air 3 10.5-inch A12 (2019),,256 GB,,Wi-Fi,,400
Switch,iPad,iPad Air,iPad Air 4 10.9-inch A14 (2020),,64 GB,,Wi-Fi + Cellular,,730
Switch,iPad,iPad Air,iPad Air 4 10.9-inch A14 (2020),,64 GB,,Wi-Fi,,560
Switch,iPad,iPad Air,iPad Air 4 10.9-inch A14 (2020),,256 GB,,Wi-Fi + Cellular,,850
Switch,iPad,iPad Air,iPad Air 4 10.9-inch A14 (2020),,256 GB,,Wi-Fi,,700
Switch,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,64 GB,,Wi-Fi + Cellular,,950
Switch,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,64 GB,,Wi-Fi,,840
Switch,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,256 GB,,Wi-Fi + Cellular,,1050
Switch,iPad,iPad Air,iPad Air 5 10.9-inch M1 (2022),,256 GB,,Wi-Fi,,950
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,128 GB,,Wi-Fi + Cellular,,1400
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,256 GB,,Wi-Fi + Cellular,,1530
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,512 GB,,Wi-Fi + Cellular,,1650
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,1 TB,,Wi-Fi + Cellular,,1850
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,128 GB,,Wi-Fi,,1050
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,256 GB,,Wi-Fi,,1150
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,512 GB,,Wi-Fi,,1300
Switch,iPad,iPad Air,iPad Air 6 11-inch M2 (2024),,1 TB,,Wi-Fi,,1450
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,128 GB,,Wi-Fi + Cellular,,1580
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,256 GB,,Wi-Fi + Cellular,,1780
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,512 GB,,Wi-Fi + Cellular,,1900
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,1 TB,,Wi-Fi + Cellular,,2100
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,128 GB,,Wi-Fi,,1300
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,256 GB,,Wi-Fi,,1480
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,512 GB,,Wi-Fi,,1700
Switch,iPad,iPad Air,iPad Air 6 13-inch M2 (2024),,1 TB,,Wi-Fi,,1850
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,128 GB,,Wi-Fi + Cellular,,1660
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,256 GB,,Wi-Fi + Cellular,,1850
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,512 GB,,Wi-Fi + Cellular,,2100
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,1 TB,,Wi-Fi + Cellular,,2350
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,128 GB,,Wi-Fi,,1280
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,256 GB,,Wi-Fi,,1480
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,512 GB,,Wi-Fi,,1700
Switch,iPad,iPad Air,iPad Air 7 11-inch M3 (2025),,1 TB,,Wi-Fi,,1900
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,128 GB,,Wi-Fi + Cellular,,1930
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,256 GB,,Wi-Fi + Cellular,,2150
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,512 GB,,Wi-Fi + Cellular,,2400
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,1 TB,,Wi-Fi + Cellular,,2700
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,128 GB,,Wi-Fi,,1680
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,256 GB,,Wi-Fi,,1870
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,512 GB,,Wi-Fi,,2100
Switch,iPad,iPad Air,iPad Air 7 13-inch M3 (2025),,1 TB,,Wi-Fi,,2450
Switch,iPad,iPad mini,iPad Mini 1,,16 GB,,Wi-Fi + Cellular,,40
Switch,iPad,iPad mini,iPad Mini 1,,16 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 1,,32 GB,,Wi-Fi + Cellular,,40
Switch,iPad,iPad mini,iPad Mini 1,,32 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 1,,64 GB,,Wi-Fi + Cellular,,40
Switch,iPad,iPad mini,iPad Mini 1,,64 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 2,,16 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad mini,iPad Mini 2,,16 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 2,,32 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad mini,iPad Mini 2,,32 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 2,,64 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad mini,iPad Mini 2,,64 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 2,,128 GB,,Wi-Fi + Cellular,,60
Switch,iPad,iPad mini,iPad Mini 2,,128 GB,,Wi-Fi,,40
Switch,iPad,iPad mini,iPad Mini 3,,16 GB,,Wi-Fi + Cellular,,90
Switch,iPad,iPad mini,iPad Mini 3,,16 GB,,Wi-Fi,,80
Switch,iPad,iPad mini,iPad Mini 3,,64 GB,,Wi-Fi + Cellular,,120
Switch,iPad,iPad mini,iPad Mini 3,,64 GB,,Wi-Fi,,100
Switch,iPad,iPad mini,iPad Mini 3,,128 GB,,Wi-Fi + Cellular,,150
Switch,iPad,iPad mini,iPad Mini 3,,128 GB,,Wi-Fi,,130
Switch,iPad,iPad mini,iPad Mini 4,,16 GB,,Wi-Fi + Cellular,,120
Switch,iPad,iPad mini,iPad Mini 4,,16 GB,,Wi-Fi,,100
Switch,iPad,iPad mini,iPad Mini 4,,32 GB,,Wi-Fi + Cellular,,170
Switch,iPad,iPad mini,iPad Mini 4,,32 GB,,Wi-Fi,,140
Switch,iPad,iPad mini,iPad Mini 4,,64 GB,,Wi-Fi + Cellular,,200
Switch,iPad,iPad mini,iPad Mini 4,,64 GB,,Wi-Fi,,170
Switch,iPad,iPad mini,iPad Mini 4,,128 GB,,Wi-Fi + Cellular,,250
Switch,iPad,iPad mini,iPad Mini 4,,128 GB,,Wi-Fi,,200
Switch,iPad,iPad mini,iPad Mini 5,,64 GB,,Wi-Fi + Cellular,,350
Switch,iPad,iPad mini,iPad Mini 5,,64 GB,,Wi-Fi,,300
Switch,iPad,iPad mini,iPad Mini 5,,256 GB,,Wi-Fi + Cellular,,400
Switch,iPad,iPad mini,iPad Mini 5,,256 GB,,Wi-Fi,,350
Switch,iPad,iPad mini,iPad Mini 6,,64 GB,,Wi-Fi + Cellular,,800
Switch,iPad,iPad mini,iPad Mini 6,,64 GB,,Wi-Fi,,590
Switch,iPad,iPad mini,iPad Mini 6,,256 GB,,Wi-Fi + Cellular,,900
Switch,iPad,iPad mini,iPad Mini 6,,256 GB,,Wi-Fi,,700
Switch,iPad,iPad mini,iPad Mini 7,,128 GB,,Wi-Fi + Cellular,,1070
Switch,iPad,iPad mini,iPad Mini 7,,256 GB,,Wi-Fi + Cellular,,1290
Switch,iPad,iPad mini,iPad Mini 7,,512 GB,,Wi-Fi + Cellular,,1520
Switch,iPad,iPad mini,iPad Mini 7,,128 GB,,Wi-Fi,,890
Switch,iPad,iPad mini,iPad Mini 7,,256 GB,,Wi-Fi,,1010
Switch,iPad,iPad mini,iPad Mini 7,,512 GB,,Wi-Fi,,1350
Switch,iPad,iPad Pro,iPad Pro 10.5-inch A10X (2017),,64 GB,,Wi-Fi + Cellular,,200
Switch,iPad,iPad Pro,iPad Pro 10.5-inch A10X (2017),,64 GB,,Wi-Fi,,150
Switch,iPad,iPad Pro,iPad Pro 10.5-inch A10X (2017),,256 GB,,Wi-Fi + Cellular,,300
