Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Mac,iMac i7 4.2GHz 27 inch (Mid 2017),2TB Fusion Drive,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i7 4.2GHz 27 inch (Mid 2017),2TB SSD,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i7 4.2GHz 27 inch (Mid 2017),3TB Fusion Drive,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i7 4.2GHz 27 inch (Mid 2017),512GB SSD,300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),1TB Fusion Drive,1100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),1TB SSD,1175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),256GB SSD,850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),2TB Fusion Drive,1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),2TB SSD,1350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),3TB Fusion Drive,1425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Early 2019),512GB SSD,975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Mid 2020),1TB SSD,1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Mid 2020),2TB SSD,1475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Mid 2020),4TB SSD,1650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Mid 2020),512GB SSD,1175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i9 3.6GHz 27 inch (Mid 2020),8TB SSD,1775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 7-Core GPU 24 inch (Early 2021),1TB SSD,675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 7-Core GPU 24 inch (Early 2021),256GB SSD,575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 7-Core GPU 24 inch (Early 2021),512GB SSD,575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 8-Core GPU 24 inch (Early 2021),1TB SSD,725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 8-Core GPU 24 inch (Early 2021),256GB SSD,650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 8-Core GPU 24 inch (Early 2021),2TB SSD,725,https://compasia.my/pages/trade-in
