Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/256GB, Cellular",845,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/64GB, Cellular",720,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/256GB, Wi-Fi",975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/64GB, Wi-Fi",835,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/256GB, Cellular",1075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/64GB, Cellular",975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/128GB, Wi-Fi",1150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/1TB, Wi-Fi",1900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/256GB, Wi-Fi",1375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/512GB, Wi-Fi",1575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/128GB, Cellular",1350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/1TB, Cellular",2050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/256GB, Cellular",1475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/512GB, Cellular",1800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 6,"4GB/256GB, Wi-Fi",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 6,"4GB/64GB, Wi-Fi",585,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 6,"4GB/256GB, Cellular",925,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 6,"4GB/64GB, Cellular",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/128GB, Wi-Fi",850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/256GB, Wi-Fi",1010,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/512GB, Wi-Fi",1375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/128GB, Cellular",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/256GB, Cellular",1275,https://compasia.my/pages/trade-in
