Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/1TB, Wi-Fi",2400,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/256GB, Wi-Fi",1800,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/512GB, Wi-Fi",2050,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/128GB, Cellular",1875,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/1TB, Cellular",2700,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/256GB, Cellular",2100,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/512GB, Cellular",2400,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/128GB, Wi-Fi",1250,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/1TB, Wi-Fi",2075,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/256GB, Wi-Fi",1425,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/512GB, Wi-Fi",1750,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/128GB, Cellular",1525,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/1TB, Cellular",2300,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/256GB, Cellular",1725,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/512GB, Cellular",2075,iPad Air 13-inch,2024.0,iPad,iPad Air,,,13.0,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/256GB, Wi-Fi",725,iPad Air 4,2020.0,iPad,iPad Air,4.0,,,,,4.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/64GB, Wi-Fi",550,iPad Air 4,2020.0,iPad,iPad Air,4.0,,,,,4.0,64.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/256GB, Cellular",845,iPad Air 4,2020.0,iPad,iPad Air,4.0,,,,,4.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/64GB, Cellular",720,iPad Air 4,2020.0,iPad,iPad Air,4.0,,,,,4.0,64.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/256GB, Wi-Fi",975,iPad Air 5,2022.0,iPad,iPad Air,5.0,,,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/64GB, Wi-Fi",835,iPad Air 5,2022.0,iPad,iPad Air,5.0,,,,,8.0,64.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/256GB, Cellular",1075,iPad Air 5,2022.0,iPad,iPad Air,5.0,,,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/64GB, Cellular",975,iPad Air 5,2022.0,iPad,iPad Air,5.0,,,,,8.0,64.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/128GB, Wi-Fi",1150,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/1TB, Wi-Fi",1900,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/256GB, Wi-Fi",1375,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/512GB, Wi-Fi",1575,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/128GB, Cellular",1350,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/1TB, Cellular",2050,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/256GB, Cellular",1475,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Air 6,"8GB/512GB, Cellular",1800,iPad Air 6,2024.0,iPad,iPad Air,6.0,,,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Mini 6,"4GB/256GB, Wi-Fi",775,iPad Mini 6,2021.0,iPad,iPad mini,6.0,,,,,4.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Mini 6,"4GB/64GB, Wi-Fi",585,iPad Mini 6,2021.0,iPad,iPad mini,6.0,,,,,4.0,64.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Mini 6,"4GB/256GB, Cellular",925,iPad Mini 6,2021.0,iPad,iPad mini,6.0,,,,,4.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Mini 6,"4GB/64GB, Cellular",775,iPad Mini 6,2021.0,iPad,iPad mini,6.0,,,,,4.0,64.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/128GB, Wi-Fi",850,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/256GB, Wi-Fi",1010,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/512GB, Wi-Fi",1375,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/128GB, Cellular",1050,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,128.0,,Cellular,
