Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),128GB,850,iPhone 14 (eSIM),2022.0,iPhone,iPhone 14,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),256GB,935,iPhone 14 (eSIM),2022.0,iPhone,iPhone 14,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),512GB,1020,iPhone 14 (eSIM),2022.0,iPhone,iPhone 14,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,128GB,1000,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,256GB,1100,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,512GB,1225,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),128GB,895,iPhone 14 Plus (eSIM),2022.0,iPhone,iPhone 14 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),256GB,985,iPhone 14 Plus (eSIM),2022.0,iPhone,iPhone 14 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),512GB,1080,iPhone 14 Plus (eSIM),2022.0,iPhone,iPhone 14 Plus,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,128GB,1325,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,1TB,1675,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,512GB,1600,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),128GB,1140,iPhone 14 Pro (eSIM),2022.0,iPhone,iPhone 14 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),1TB,1465,iPhone 14 Pro (eSIM),2022.0,iPhone,iPhone 14 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),256GB,1310,iPhone 14 Pro (eSIM),2022.0,iPhone,iPhone 14 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),512GB,1375,iPhone 14 Pro (eSIM),2022.0,iPhone,iPhone 14 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,128GB,1575,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,1TB,1975,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,256GB,1700,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,512GB,1835,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),128GB,1350,iPhone 14 Pro Max (eSIM),2022.0,iPhone,iPhone 14 Pro Max,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),1TB,1700,iPhone 14 Pro Max (eSIM),2022.0,iPhone,iPhone 14 Pro Max,,,,,,,1024.0,,,
