Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro,256GB,450,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro,512GB,590,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro Max,64GB,490,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro Max,256GB,560,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro Max,512GB,650,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12,64GB,460,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12,128GB,510,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12,256GB,590,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 mini,64GB,300,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 mini,128GB,400,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 mini,256GB,450,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro,128GB,640,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro,256GB,710,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro,512GB,760,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro Max,128GB,810,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro Max,256GB,910,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 12 Pro Max,512GB,990,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13,128GB,750,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13,256GB,850,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13,512GB,910,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 mini,128GB,500,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 mini,256GB,550,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 mini,512GB,600,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro,128GB,990,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro,256GB,1060,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro,512GB,1150,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro,1TB,1260,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro Max,128GB,1110,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro Max,256GB,1290,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro Max,512GB,1340,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 13 Pro Max,1TB,1460,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14,128GB,850,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14,256GB,950,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14,512GB,1110,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Plus,128GB,950,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Plus,256GB,1050,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Plus,512GB,1240,iPhone 14 Plus,2022.0,iPhone,iPhone 14 Plus,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro,128GB,1340,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro,256GB,1540,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro,512GB,1610,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro,1TB,1690,iPhone 14 Pro,2022.0,iPhone,iPhone 14 Pro,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro Max,128GB,1590,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro Max,256GB,1710,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro Max,512GB,1850,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 14 Pro Max,1TB,1990,iPhone 14 Pro Max,2022.0,iPhone,iPhone 14 Pro Max,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15,128GB,1300,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15,256GB,1450,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15,512GB,1600,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Plus,128GB,1450,iPhone 15 Plus,2023.0,iPhone,iPhone 15 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Plus,256GB,1600,iPhone 15 Plus,2023.0,iPhone,iPhone 15 Plus,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Plus,512GB,1800,iPhone 15 Plus,2023.0,iPhone,iPhone 15 Plus,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro,128GB,1740,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro,256GB,2010,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro,512GB,2140,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro,1TB,2360,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro Max,256GB,2210,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro Max,512GB,2440,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 15 Pro Max,1TB,2660,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16,128GB,1800,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16,256GB,1980,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16,512GB,2180,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Plus,128GB,2090,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Plus,256GB,2250,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Plus,512GB,2500,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro,128GB,2310,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro,256GB,2540,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro,512GB,2700,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro,1TB,2900,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro Max,256GB,3010,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro Max,512GB,3200,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16 Pro Max,1TB,3500,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16e,128GB,1050,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16e,256GB,1200,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 16e,512GB,1500,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17,256GB,2290,iPhone 17,2025.0,iPhone,iPhone 17,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17,512GB,2700,iPhone 17,2025.0,iPhone,iPhone 17,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro,256GB,3190,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro,512GB,3600,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro,1TB,4150,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro Max,256GB,3500,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro Max,512GB,4130,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro Max,1TB,4800,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 17 Pro Max,2TB,6010,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,2048.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 5s,16GB,5,iPhone 5s,2013.0,iPhone,iPhone 5s,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 5s,32GB,5,iPhone 5s,2013.0,iPhone,iPhone 5s,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 5s,64GB,5,iPhone 5s,2013.0,iPhone,iPhone 5s,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6,16GB,5,iPhone 6,2014.0,iPhone,iPhone 6,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6,32GB,5,iPhone 6,2014.0,iPhone,iPhone 6,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6,64GB,5,iPhone 6,2014.0,iPhone,iPhone 6,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6,128GB,5,iPhone 6,2014.0,iPhone,iPhone 6,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6 Plus,16GB,10,iPhone 6 Plus,2014.0,iPhone,iPhone 6 Plus,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6 Plus,64GB,10,iPhone 6 Plus,2014.0,iPhone,iPhone 6 Plus,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6 Plus,128GB,10,iPhone 6 Plus,2014.0,iPhone,iPhone 6 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s,16GB,10,iPhone 6s,2015.0,iPhone,iPhone 6s,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s,32GB,10,iPhone 6s,2015.0,iPhone,iPhone 6s,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s,64GB,10,iPhone 6s,2015.0,iPhone,iPhone 6s,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s,128GB,10,iPhone 6s,2015.0,iPhone,iPhone 6s,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s Plus,16GB,20,iPhone 6s Plus,2015.0,iPhone,iPhone 6s Plus,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s Plus,32GB,20,iPhone 6s Plus,2015.0,iPhone,iPhone 6s Plus,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s Plus,64GB,20,iPhone 6s Plus,2015.0,iPhone,iPhone 6s Plus,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 6s Plus,128GB,20,iPhone 6s Plus,2015.0,iPhone,iPhone 6s Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7,32GB,50,iPhone 7,2016.0,iPhone,iPhone 7,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7,128GB,70,iPhone 7,2016.0,iPhone,iPhone 7,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7,256GB,90,iPhone 7,2016.0,iPhone,iPhone 7,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7 Plus,32GB,80,iPhone 7 Plus,2016.0,iPhone,iPhone 7 Plus,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7 Plus,128GB,110,iPhone 7 Plus,2016.0,iPhone,iPhone 7 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 7 Plus,256GB,140,iPhone 7 Plus,2016.0,iPhone,iPhone 7 Plus,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8,64GB,120,iPhone 8,2017.0,iPhone,iPhone 8,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8,128GB,140,iPhone 8,2017.0,iPhone,iPhone 8,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8,256GB,180,iPhone 8,2017.0,iPhone,iPhone 8,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8 Plus,64GB,130,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8 Plus,128GB,160,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 8 Plus,256GB,190,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Air,256GB,2200,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Air,512GB,2400,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Air,1TB,2800,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,1024.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE,16GB,5,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,16.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE,32GB,5,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,32.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE,64GB,5,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE,128GB,5,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2020),64GB,120,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2020),128GB,170,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2020),256GB,220,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2022),64GB,170,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2022),128GB,220,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone SE (2022),256GB,270,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone X,64GB,140,iPhone X,2017.0,iPhone,iPhone X,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone X,256GB,190,iPhone X,2017.0,iPhone,iPhone X,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xr,64GB,160,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xr,128GB,230,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xr,256GB,280,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs,64GB,210,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs,256GB,260,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs,512GB,310,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,512.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs Max,64GB,290,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs Max,256GB,370,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone Xs Max,512GB,400,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,512.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2020),3GB/64GB,125,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,3.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2020),3GB/128GB,175,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,3.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2020),3GB/256GB,200,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,3.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2022),4GB/64GB,275,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2022),4GB/128GB,325,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,4.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone SE (2022),4GB/256GB,350,iPhone SE (2022),2022.0,iPhone,iPhone SE,,2022,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 8 Plus,3GB/64GB,120,iPhone 8 Plus,2017.0,iPhone,iPhone,,,,,,3.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 8 Plus,3GB/128GB,150,iPhone 8 Plus,2017.0,iPhone,iPhone,,,,,,3.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 8 Plus,3GB/256GB,180,iPhone 8 Plus,2017.0,iPhone,iPhone,,,,,,3.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone X,3GB/64GB,130,iPhone X,2017.0,iPhone,iPhone,,,,,,3.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone X,3GB/256GB,185,iPhone X,2017.0,iPhone,iPhone,,,,,,3.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xr,3GB/64GB,155,iPhone Xr,2018.0,iPhone,iPhone,,,,,,3.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xr,3GB/128GB,220,iPhone Xr,2018.0,iPhone,iPhone,,,,,,3.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xr,3GB/256GB,270,iPhone Xr,2018.0,iPhone,iPhone,,,,,,3.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs,4GB/64GB,205,iPhone Xs,2018.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs,4GB/256GB,255,iPhone Xs,2018.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs,4GB/512GB,305,iPhone Xs,2018.0,iPhone,iPhone,,,,,,4.0,512.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs Max,4GB/64GB,285,iPhone Xs Max,2018.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs Max,4GB/256GB,365,iPhone Xs Max,2018.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone Xs Max,4GB/512GB,390,iPhone Xs Max,2018.0,iPhone,iPhone,,,,,,4.0,512.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11,4GB/64GB,340,iPhone 11,2019.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11,4GB/128GB,390,iPhone 11,2019.0,iPhone,iPhone,,,,,,4.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11,4GB/256GB,450,iPhone 11,2019.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro,4GB/64GB,415,iPhone 11 Pro,2019.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro,4GB/256GB,490,iPhone 11 Pro,2019.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro,4GB/512GB,575,iPhone 11 Pro,2019.0,iPhone,iPhone,,,,,,4.0,512.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro Max,4GB/64GB,475,iPhone 11 Pro Max,2019.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro Max,4GB/256GB,550,iPhone 11 Pro Max,2019.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 11 Pro Max,4GB/512GB,625,iPhone 11 Pro Max,2019.0,iPhone,iPhone,,,,,,4.0,512.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12 mini,4GB/64GB,300,iPhone 12 mini,2020.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12 mini,4GB/128GB,375,iPhone 12 mini,2020.0,iPhone,iPhone,,,,,,4.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12 mini,4GB/256GB,400,iPhone 12 mini,2020.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12,4GB/64GB,450,iPhone 12,2020.0,iPhone,iPhone,,,,,,4.0,64.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12,4GB/128GB,500,iPhone 12,2020.0,iPhone,iPhone,,,,,,4.0,128.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12,4GB/256GB,575,iPhone 12,2020.0,iPhone,iPhone,,,,,,4.0,256.0,,,
,Retailer Trade-in,Machines,iPhone,iPhone 12 Pro,6GB/128GB,625,iPhone 12 Pro,2020.0,iPhone,iPhone,,,,,,6.0,128.0,,,
